name,category,conductivity_w_mk,conductivity_btu_hr_ft_F,resistivity_hr_ft2_F_Btu_in,emissivity,ARGB_COLOR,display_name,source,comments
EPS (Type IX),Insulations,0.034,0.0198,4.209,0.90,"255,255,255,0",EPS (Type IX) [R-4.21/in.],,
Fabreeka-TIM,Insulations,0.258,0.1490,0.559,0.90,,Fabreeka-TIM [R-0.56/in.],,
Fiberglass (Blown Spyder 1.8lb/cuft),Insulations,0.035,0.0203,4.105,0.90,"255,255,255,140",Fiberglass (Blown Spyder 1.8lb/cuft) [R-4.11/in.],,
Fiberglass (Blown Spyder 1lb/cuft),Insulations,0.039,0.0225,3.704,0.90,"255,255,255,140",Fiberglass (Blown Spyder 1lb/cuft) [R-3.7/in.],,
Fiberglass Batt,Insulations,0.045,0.0260,3.205,0.90,"255,255,255,140",Fiberglass Batt [R-3.21/in.],,
Fiberglass Duct Insulation (compressed),Insulations,0.034,0.0196,4.252,0.90,"255,255,255,140",Fiberglass Duct Insulation (compressed) [R-4.25/in.],,
Fiberglass Solid Pultrusion,Insulations,0.577,0.3333,0.250,0.90,,Fiberglass Solid Pultrusion [R-0.25/in.],,
Foamglas,Insulations,0.042,0.0240,3.472,0.90,,Foamglas [R-3.47/in.],,
Gutex Multitherm,Insulations,0.039,0.0227,3.669,0.90,"255,130,130,0",Gutex Multitherm [R-3.67/in.],,
Gutex Ultratherm,Insulations,0.042,0.0243,3.434,0.90,"255,130,130,0",Gutex Ultratherm [R-3.43/in.],,
Huntsman HeatLok HFO Pro ccspf,Insulations,0.019,0.0113,7.400,0.90,"255,200,200,120",Huntsman HeatLok HFO Pro ccspf [R-7.4/in.],Manufacturer Data,
Isolatek CAFCO Heat-Shield Spray Mineral Fiber,Insulations,0.037,0.0216,3.850,0.90,"255,255,0,255",Isolatek CAFCO Heat-Shield Spray Mineral Fiber [R-3.85/in.],,
Kingspan OPTIM-R Vacum Panel,Insulations,0.005,0.0030,27.778,0.90,"255,255,0,255",Kingspan OPTIM-R Vacum Panel [R-27.78/in.],,
Low Density Glass Fibre Batt Insulation,Insulations,0.043,0.0248,3.354,0.90,"255,255,255,140",Low Density Glass Fibre Batt Insulation [R-3.35/in.],WUFI-Passive Database,
"Mineral Wool (heat cond.: 0,04 W/mK)",Insulations,0.040,0.0231,3.606,0.90,"255,255,255,0","Mineral Wool (heat cond.: 0,04 W/mK) [R-3.61/in.]",WUFI-Passive Database,
Nexseal Closed Cell Spray PU,Insulations,0.020,0.0116,7.200,0.90,"255,200,200,120",Nexseal Closed Cell Spray PU [R-7.2/in.],,
PolyIso w Metal Fasteners,Insulations,0.026,0.0150,5.556,0.90,"255,255,153,255",PolyIso w Metal Fasteners [R-5.56/in.],,
Polyisocyanurate Board,Insulations,0.024,0.0140,5.952,0.90,"255,255,153,255",Polyisocyanurate Board [R-5.95/in.],WUFI-Passive Database,
Purinet PU Block,Insulations,0.086,0.0497,1.677,0.90,,Purinet PU Block [R-1.68/in.],,
Roxul Comforboard IS,Insulations,0.036,0.0208,4.006,0.90,"255,175,215,157",Roxul Comforboard IS [R-4.01/in.],,
Roxul Comfortbatt 3.5in,Insulations,0.034,0.0194,4.296,0.90,"255,175,215,157",Roxul Comfortbatt 3.5in [R-4.3/in.],,
Roxul Comfortbatt 5.5in,Insulations,0.034,0.0199,4.188,0.90,"255,175,215,157",Roxul Comfortbatt 5.5in [R-4.19/in.],,
Roxul Comfortbatt 7.25in,Insulations,0.035,0.0201,4.146,0.90,"255,175,215,157",Roxul Comfortbatt 7.25in [R-4.15/in.],,
Roxul CurtainRock,Insulations,0.032,0.0185,4.507,0.90,"255,175,215,157",Roxul CurtainRock [R-4.51/in.],,
Shoeck Isokorb (Typ),Insulations,0.206,0.1190,0.700,0.90,,Shoeck Isokorb (Typ) [R-0.7/in.],,
SoundSense Syncork,Insulations,0.096,0.0556,1.500,0.90,"255,255,255,0",SoundSense Syncork [R-1.5/in.],,
Sprayed Polyurethane Foam; closed cell,Insulations,0.025,0.0144,5.769,0.90,"255,200,200,120",Sprayed Polyurethane Foam; closed cell [R-5.77/in.],WUFI-Passive Database,
Wood-Fibre Insulation Board,Insulations,0.042,0.0243,3.434,0.90,"255,130,130,0",Wood-Fibre Insulation Board [R-3.43/in.],WUFI-Passive Database,
XPS,Insulations,0.029,0.0167,4.999,0.90,"255,255,255,0",XPS [R-5/in.],,
"XPS Core (heat cond.: 0,03 W/mK)",Insulations,0.030,0.0173,4.808,0.90,"255,255,255,0","XPS Core (heat cond.: 0,03 W/mK) [R-4.81/in.]",WUFI-Passive Database,
stl std w No Insul [0.75in],Stud_Layers_Stl,0.108,0.0625,1.333,0.90,"255,185,235,255",stl std w No Insul [0.75in] [R-1.33/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [1.0in],Stud_Layers_Stl,0.144,0.0833,1.000,0.90,"255,185,235,255",stl std w No Insul [1.0in] [R-1/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [1.5in],Stud_Layers_Stl,0.197,0.1136,0.733,0.90,"255,185,235,255",stl std w No Insul [1.5in] [R-0.73/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [2.0in],Stud_Layers_Stl,0.262,0.1515,0.550,0.90,"255,185,235,255",stl std w No Insul [2.0in] [R-0.55/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [2.5in],Stud_Layers_Stl,0.300,0.1736,0.480,0.90,"255,185,235,255",stl std w No Insul [2.5in] [R-0.48/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [3.0in],Stud_Layers_Stl,0.361,0.2083,0.400,0.90,"255,185,235,255",stl std w No Insul [3.0in] [R-0.4/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [3.5in],Stud_Layers_Stl,0.421,0.2431,0.343,0.90,"255,185,235,255",stl std w No Insul [3.5in] [R-0.34/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [4.0in],Stud_Layers_Stl,0.481,0.2778,0.300,0.90,"255,185,235,255",stl std w No Insul [4.0in] [R-0.3/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
"stl std w No Insul [4.5in]
",Stud_Layers_Stl,0.541,0.3125,0.267,0.90,"255,185,235,255","stl std w No Insul [4.5in]
 [R-0.27/in.]",ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [5.0in],Stud_Layers_Stl,0.601,0.3472,0.240,0.90,"255,185,235,255",stl std w No Insul [5.0in] [R-0.24/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w No Insul [5.5in],Stud_Layers_Stl,0.610,0.3526,0.236,0.90,"255,185,235,255",stl std w No Insul [5.5in] [R-0.24/in.],ASHRAE 90.1 Table A3.1.4,No Insulation
stl std w R-3/in [1.0in],Stud_Layers_Stl,0.090,0.0521,1.601,0.90,"255,255,255,150",stl std w R-3/in [1.0in] [R-1.6/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [1.5in],Stud_Layers_Stl,0.103,0.0595,1.400,0.90,"255,255,255,150",stl std w R-3/in [1.5in] [R-1.4/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [2.0in],Stud_Layers_Stl,0.107,0.0617,1.350,0.90,"255,255,255,150",stl std w R-3/in [2.0in] [R-1.35/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [2.5in],Stud_Layers_Stl,0.113,0.0651,1.280,0.90,"255,255,255,150",stl std w R-3/in [2.5in] [R-1.28/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [3.0in],Stud_Layers_Stl,0.114,0.0658,1.266,0.90,"255,255,255,150",stl std w R-3/in [3.0in] [R-1.27/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [3.5in],Stud_Layers_Stl,0.117,0.0678,1.229,0.90,"255,255,255,150",stl std w R-3/in [3.5in] [R-1.23/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [4.0in],Stud_Layers_Stl,0.115,0.0667,1.250,0.90,"255,255,255,150",stl std w R-3/in [4.0in] [R-1.25/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [4.5in],Stud_Layers_Stl,0.120,0.0695,1.200,0.90,"255,255,255,150",stl std w R-3/in [4.5in] [R-1.2/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [5.0in],Stud_Layers_Stl,0.118,0.0683,1.220,0.90,"255,255,255,150",stl std w R-3/in [5.0in] [R-1.22/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-3/in [5.5in],Stud_Layers_Stl,0.120,0.0695,1.200,0.90,"255,255,255,150",stl std w R-3/in [5.5in] [R-1.2/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
stl std w R-4/in [0.5in],Stud_Layers_Stl,0.066,0.0379,2.199,0.90,"255,255,255,150",stl std w R-4/in [0.5in] [R-2.2/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [1.0in],Stud_Layers_Stl,0.085,0.0490,1.701,0.90,"255,255,255,150",stl std w R-4/in [1.0in] [R-1.7/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [1.5in],Stud_Layers_Stl,0.094,0.0544,1.533,0.90,"255,255,255,150",stl std w R-4/in [1.5in] [R-1.53/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [2.0in],Stud_Layers_Stl,0.100,0.0575,1.450,0.90,"255,255,255,150",stl std w R-4/in [2.0in] [R-1.45/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [2.5in],Stud_Layers_Stl,0.100,0.0579,1.439,0.90,"255,255,255,150",stl std w R-4/in [2.5in] [R-1.44/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [3.0in],Stud_Layers_Stl,0.103,0.0595,1.400,0.90,"255,255,255,150",stl std w R-4/in [3.0in] [R-1.4/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [3.5in],Stud_Layers_Stl,0.105,0.0608,1.371,0.90,"255,255,255,150",stl std w R-4/in [3.5in] [R-1.37/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [4.0in],Stud_Layers_Stl,0.107,0.0617,1.350,0.90,"255,255,255,150",stl std w R-4/in [4.0in] [R-1.35/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [4.5in],Stud_Layers_Stl,0.108,0.0625,1.333,0.90,"255,255,255,150",stl std w R-4/in [4.5in] [R-1.33/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [5.0in],Stud_Layers_Stl,0.108,0.0622,1.340,0.90,"255,255,255,150",stl std w R-4/in [5.0in] [R-1.34/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-4/in [5.5in],Stud_Layers_Stl,0.109,0.0628,1.327,0.90,"255,255,255,150",stl std w R-4/in [5.5in] [R-1.33/in.],ASHRAE 90.1 Table A3.1.4,R-4/inch Insulation (Min. Wool)
stl std w R-5/in [0.5in],Stud_Layers_Stl,0.066,0.0379,2.200,0.90,"255,255,255,150",stl std w R-5/in [0.5in] [R-2.2/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [1.0in],Stud_Layers_Stl,0.080,0.0463,1.800,0.90,"255,255,255,150",stl std w R-5/in [1.0in] [R-1.8/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [1.5in],Stud_Layers_Stl,0.090,0.0521,1.600,0.90,"255,255,255,150",stl std w R-5/in [1.5in] [R-1.6/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [2.0in],Stud_Layers_Stl,0.093,0.0538,1.550,0.90,"255,255,255,150",stl std w R-5/in [2.0in] [R-1.55/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [2.5in],Stud_Layers_Stl,0.097,0.0563,1.480,0.90,"255,255,255,150",stl std w R-5/in [2.5in] [R-1.48/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [3.0in],Stud_Layers_Stl,0.098,0.0568,1.467,0.90,"255,255,255,150",stl std w R-5/in [3.0in] [R-1.47/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [3.5in],Stud_Layers_Stl,0.099,0.0572,1.457,0.90,"255,255,255,150",stl std w R-5/in [3.5in] [R-1.46/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [4.0in],Stud_Layers_Stl,0.099,0.0575,1.450,0.90,"255,255,255,150",stl std w R-5/in [4.0in] [R-1.45/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [5.0in],Stud_Layers_Stl,0.102,0.0587,1.420,0.90,"255,255,255,150",stl std w R-5/in [5.0in] [R-1.42/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in [5.5in],Stud_Layers_Stl,0.102,0.0587,1.420,0.90,"255,255,255,150",stl std w R-5/in [5.5in] [R-1.42/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-5/in[4.5in],Stud_Layers_Stl,0.101,0.0586,1.422,0.90,"255,255,255,150",stl std w R-5/in[4.5in] [R-1.42/in.],ASHRAE 90.1 Table A3.1.4,R-5/inch Insulation (XPS)
stl std w R-6/in [0.5in],Stud_Layers_Stl,0.066,0.0379,2.200,0.90,"255,255,255,150",stl std w R-6/in [0.5in] [R-2.2/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [1.0in],Stud_Layers_Stl,0.080,0.0463,1.800,0.90,"255,255,255,150",stl std w R-6/in [1.0in] [R-1.8/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [1.5in],Stud_Layers_Stl,0.087,0.0500,1.667,0.90,"255,255,255,150",stl std w R-6/in [1.5in] [R-1.67/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [2.0in],Stud_Layers_Stl,0.090,0.0521,1.600,0.90,"255,255,255,150",stl std w R-6/in [2.0in] [R-1.6/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [2.5in],Stud_Layers_Stl,0.092,0.0534,1.560,0.90,"255,255,255,150",stl std w R-6/in [2.5in] [R-1.56/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [3.0in],Stud_Layers_Stl,0.094,0.0544,1.533,0.90,"255,255,255,150",stl std w R-6/in [3.0in] [R-1.53/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [3.5in],Stud_Layers_Stl,0.095,0.0550,1.514,0.90,"255,255,255,150",stl std w R-6/in [3.5in] [R-1.51/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [4.0in],Stud_Layers_Stl,0.096,0.0556,1.500,0.90,"255,255,255,150",stl std w R-6/in [4.0in] [R-1.5/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [4.5in],Stud_Layers_Stl,0.096,0.0556,1.500,0.90,"255,255,255,150",stl std w R-6/in [4.5in] [R-1.5/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [5.0in],Stud_Layers_Stl,0.096,0.0556,1.500,0.90,"255,255,255,150",stl std w R-6/in [5.0in] [R-1.5/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-6/in [5.5in],Stud_Layers_Stl,0.096,0.0556,1.500,0.90,"255,255,255,150",stl std w R-6/in [5.5in] [R-1.5/in.],ASHRAE 90.1 Table A3.1.4,R-6/inch Insulation (Spray)
stl std w R-3/in [0.5in],Stud_Layers_Wd,0.080,0.0463,1.801,0.90,"255,255,255,150",stl std w R-3/in [0.5in] [R-1.8/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [0.5in],Stud_Layers_Wd,0.056,0.0321,2.599,0.90,"255,255,255,150",wd std w R-3/in [0.5in] [R-2.6/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [1.0in],Stud_Layers_Wd,0.050,0.0287,2.902,0.90,"255,255,255,150",wd std w R-3/in [1.0in] [R-2.9/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [1.5in],Stud_Layers_Wd,0.057,0.0329,2.535,0.90,"255,255,255,150",wd std w R-3/in [1.5in] [R-2.53/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [2.0in],Stud_Layers_Wd,0.054,0.0314,2.651,0.90,"255,255,255,150",wd std w R-3/in [2.0in] [R-2.65/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [2.5in],Stud_Layers_Wd,0.057,0.0330,2.521,0.90,"255,255,255,150",wd std w R-3/in [2.5in] [R-2.52/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [3.0in],Stud_Layers_Wd,0.056,0.0321,2.599,0.90,"255,255,255,150",wd std w R-3/in [3.0in] [R-2.6/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [3.5in],Stud_Layers_Wd,0.058,0.0335,2.487,0.90,"255,255,255,150",wd std w R-3/in [3.5in] [R-2.49/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [4.0in],Stud_Layers_Wd,0.057,0.0327,2.548,0.90,"255,255,255,150",wd std w R-3/in [4.0in] [R-2.55/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [4.5in],Stud_Layers_Wd,0.058,0.0335,2.491,0.90,"255,255,255,150",wd std w R-3/in [4.5in] [R-2.49/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [5.0in],Stud_Layers_Wd,0.057,0.0328,2.539,0.90,"255,255,255,150",wd std w R-3/in [5.0in] [R-2.54/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
wd std w R-3/in [5.5in],Stud_Layers_Wd,0.058,0.0337,2.474,0.90,"255,255,255,150",wd std w R-3/in [5.5in] [R-2.47/in.],ASHRAE 90.1 Table A3.1.4,R-3/inch Insulation (Fiberglass)
